timestamp,DO patch r_msorm,reference patch r_msorm,reflectance standard r_msorm,DO patch g_msorm,reference patch g_msorm,reflectance standard g_msorm,DO patch b_msorm,reference patch b_msorm,reflectance standard b_msorm,image,experiment,YSI DO (%),YSI DO (mg/L),YSI barometer (mmHg),YSI temperature (C),setpoint O2 (fraction),setpoint temperature (C),water bath external temperature (C),water bath internal temperature (C),PicoLog temperature (C),PicoLog pressure (mmHg),YSI DO (approx mmHg),setpoint O2 (approx mmHg),test,training,training_resampled
2019-07-26 19:52:07,0.111597,0.367364,0.099688,0.291884,0.412818,0.431054,0.741207,0.832337,0.934387,2019-07-26--19-52-02_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.3,6.79,762.58,34.8,0.2131,35.0,23.02,35.0,34.688967,763.460586,155.521175,162.693451,False,True,False
2019-07-26 19:52:16,0.123674,0.407769,0.110392,0.32242,0.456563,0.477134,0.808902,0.899876,0.936485,2019-07-26--19-52-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.3,6.79,762.6,34.8,0.2131,35.0,23.018,35.0,34.690946,763.414892,155.525254,162.683713,False,True,False
2019-07-26 19:52:25,0.111556,0.36729,0.099671,0.291838,0.41279,0.430919,0.740975,0.832108,0.934402,2019-07-26--19-52-20_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.4,6.79,762.6,34.8,0.2131,35.0,23.02,35.0,34.691185,763.538063,155.685095,162.709961,False,True,False
2019-07-26 19:52:34,0.131818,0.43567,0.117374,0.342785,0.486707,0.508861,0.850171,0.929064,0.936567,2019-07-26--19-52-29_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.3,6.79,762.6,34.8,0.2131,35.0,23.012,35.008,34.691841,763.653182,155.525254,162.734493,False,True,True
2019-07-26 19:52:43,0.111456,0.367001,0.099601,0.291618,0.412526,0.430604,0.740568,0.831802,0.93437,2019-07-26--19-52-38_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.3,6.79,762.6,34.8,0.2131,35.0,23.02,35.0,34.696399,763.623509,155.525254,162.72817,False,True,False
2019-07-26 19:52:52,0.128279,0.422975,0.114518,0.334111,0.473026,0.49711,0.83305,0.918503,0.936555,2019-07-26--19-52-47_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.32,6.79,762.52,34.8,0.2131,35.0,23.012,35.0,34.700952,763.466216,155.540907,162.694651,False,True,False
2019-07-26 19:53:01,0.111357,0.366771,0.099566,0.291577,0.412219,0.430349,0.740126,0.831313,0.934319,2019-07-26--19-52-56_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.3,6.786,762.5,34.8,0.2131,35.0,23.016,35.0,34.702383,763.310926,155.50486,162.661558,False,True,False
2019-07-26 19:53:10,0.127272,0.420713,0.113448,0.331514,0.470481,0.492653,0.827887,0.91612,0.936547,2019-07-26--19-53-05_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.4,6.79,762.6,34.8,0.2131,35.0,23.034,35.0,34.702535,763.438728,155.685095,162.688793,False,True,False
2019-07-26 19:53:19,0.111361,0.366715,0.099592,0.291536,0.412282,0.430375,0.740225,0.831322,0.934364,2019-07-26--19-53-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.3,6.79,762.6,34.8,0.2131,35.0,23.032,35.0,34.703711,763.607158,155.525254,162.724685,False,True,False
2019-07-26 19:53:28,0.13273,0.438849,0.118479,0.345438,0.49025,0.513545,0.855201,0.930865,0.93657,2019-07-26--19-53-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,2019-07-26--19-34-38-Pi2E32-3000_images_attempt_1,97.4,6.79,762.6,34.8,0.2131,35.0,23.04,35.0,34.70492,763.572429,155.685095,162.717285,False,True,False
