sweep_number,temperature_set_point,experiment,image,Left Glass r_msorm,OO DO patch Wet r_msorm,Type 1 Chemistry Hand Applied Dry r_msorm,Left Glass g_msorm,OO DO patch Wet g_msorm,Type 1 Chemistry Hand Applied Dry g_msorm,Left Glass b_msorm,OO DO patch Wet b_msorm,Type 1 Chemistry Hand Applied Dry b_msorm,timestamp,YSI Barometer (mmHg),YSI Dissolved Oxygen (%),YSI Temperature (C),YSI Dissolved Oxygen (mmHg),training,training_resampled,test
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--21-31-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018112326329278568,0.10905761073778113,0.26951613695315074,0.0661270151302534,0.10629482085918013,0.43595306490185615,0.1746094978040929,0.15754091634619027,0.8752971147034876,2019-05-07 21:31:20,763.7,4.7200000000000015,14.8,7.555375744,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--21-36-15_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01807963958144104,0.11769249288938399,0.2696219432962091,0.06628276346893003,0.11099037957867952,0.4359900569460552,0.17485887350099258,0.1589192880759911,0.8752291174218702,2019-05-07 21:36:20,763.71,4.11,14.8,6.579027504000001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--21-41-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018128758775242882,0.11740858973516538,0.2695394868704362,0.06619700177356035,0.1107854856696216,0.4360325468345567,0.17481238169569996,0.15882770960451734,0.8752558343815195,2019-05-07 21:41:20,763.7,4.6099999999999985,14.8,7.379297072000001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--21-46-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01810167559121915,0.11556654999688434,0.2693933838554096,0.0662671889590867,0.1098261509404907,0.43582169168085255,0.1747628965706476,0.1585928530647131,0.8751063266934039,2019-05-07 21:46:20,763.8,5.53,14.79,8.853114144,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--21-51-15_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01803905659676635,0.10914828232534594,0.2694327348313976,0.06634259886918728,0.10639853684368368,0.4357941136380311,0.17460844119501212,0.1575892777469764,0.8750875489674457,2019-05-07 21:51:20,763.8,7.04,14.79,11.270510592,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--21-56-15_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01799509878276309,0.10316648237817592,0.26930012034084044,0.0662542090414147,0.10317340187274254,0.435773006795146,0.17470663068380896,0.1567333526737758,0.8751237163967436,2019-05-07 21:56:20,763.79,9.340000000000002,14.79,14.952434320000002,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-01-15_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018057501100280243,0.09759995859230028,0.26920675799524674,0.0662735766156845,0.10017445521164324,0.4358376032996298,0.17474473346264566,0.15593158098768772,0.8751942910791742,2019-05-07 22:01:20,763.8,11.55,14.8,18.49068144,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-06-15_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018082296273780336,0.09284423835354247,0.2690799164040333,0.066251099857458,0.09762273163399852,0.4357307158086857,0.17487230620156233,0.15523689673427518,0.8751355156510293,2019-05-07 22:06:20,763.7,13.85,14.7,22.169905520000004,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-11-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018128024379679804,0.08863746963333366,0.26916804509687464,0.06628004014414532,0.09535692077750836,0.4357613050960201,0.1748984041214463,0.15462250688047074,0.8752136739714689,2019-05-07 22:11:20,763.8,16.240000000000002,14.71,25.999018751999998,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-16-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018056031756665415,0.08491825334262149,0.2690752000441402,0.06627111921457486,0.09338775375352544,0.4356292847808032,0.1748449106937654,0.15408142327776905,0.8751144964263547,2019-05-07 22:16:20,763.7,18.64,14.8,29.837331328000012,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-21-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01801268612002822,0.08163882606797157,0.2690394325174651,0.06626099062673813,0.09166482042496044,0.4356388319507509,0.17503960155636447,0.15361655309435993,0.8751487569981404,2019-05-07 22:21:20,763.8,20.95,14.79,33.53937456,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-26-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.0181048874318582,0.07872308925695687,0.2689348916142492,0.06633211980342861,0.09007010358809382,0.4356360570177373,0.17491457041916736,0.15319542977440798,0.8752322645526559,2019-05-07 22:26:20,763.8,23.25,14.7,37.2215016,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-31-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.0180520945692184,0.07601400498025962,0.2689001635986859,0.06625602972598554,0.08862642697906918,0.4356082891171178,0.17527535744195244,0.15284541612461666,0.8751371063082856,2019-05-07 22:31:20,763.8,25.35,14.8,40.58344368,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-36-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01801628605332897,0.07378680256309834,0.26883274745706137,0.06625952073021885,0.08737285034850326,0.435509065318288,0.17493020858539585,0.15251301680795162,0.8750036681913856,2019-05-07 22:36:20,763.7,27.75,14.71,44.41984680000001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-41-15_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018043280165307155,0.0717300877374538,0.2688505832353652,0.06636695777943766,0.08629975632822738,0.4356272407981539,0.17498186785920986,0.1521836383595804,0.8751468710951064,2019-05-07 22:41:20,763.88,30.04,14.79,48.09680300800001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-46-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018046873669959933,0.06990088047419438,0.2687955840845023,0.06626007194141358,0.0853009338365883,0.4355589814943324,0.17493497291069754,0.15194652572047096,0.8750150464730246,2019-05-07 22:46:20,763.79,32.15,14.7,51.46904902400001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-51-15_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018076334179974327,0.06820899239388982,0.26874743435223514,0.06629850634284515,0.08442298339916783,0.43558453750041465,0.17513552946882552,0.15164108119578246,0.8748910378712951,2019-05-07 22:51:20,763.71,34.24,14.7,54.809213664000005,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--22-56-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018114070829450827,0.06664246927665317,0.26874507986437896,0.06620687893718923,0.0836160006008862,0.4355200836975217,0.174991716608629,0.15147639702513954,0.8750138520677697,2019-05-07 22:56:20,763.79,36.14,14.7,57.856657232000025,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-01-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018102679096869842,0.06535933625211847,0.26879698487475057,0.06629320733486338,0.08290415753017161,0.4355986669689136,0.17508849554181527,0.15128106915534958,0.8749257803960784,2019-05-07 23:01:20,763.7,38.040000000000006,14.7,60.89120620800002,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-06-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018064765274840813,0.06410749058803489,0.2686973537124285,0.06631209306463222,0.08216090679741674,0.4354383139095894,0.17506206192321772,0.15112428496351735,0.8749736194697094,2019-05-07 23:06:20,763.71,40.14,14.8,64.253557008,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-11-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018056604411170688,0.0629024430784606,0.26870175428809673,0.0663842650756868,0.08159207834765253,0.4355062598863197,0.17508670123314052,0.15093467300688929,0.875030594327563,2019-05-07 23:11:20,763.7,41.87,14.7,67.02194542400001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-16-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01807863627806296,0.06187596334630512,0.2687117499707227,0.06633924102365445,0.0810444809782736,0.4353985767904955,0.17501303010815866,0.15079577121554316,0.8748943067698876,2019-05-07 23:16:20,763.69,43.93,14.79,70.31849230400003,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-21-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.017991449392170168,0.060875134102077635,0.268657686226548,0.06629844371936389,0.08044933963989738,0.4354709652221659,0.17519878828078328,0.15069974334965575,0.8748327006041078,2019-05-07 23:21:20,763.6,45.540000000000006,14.79,72.88702502400001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-26-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018091575753404185,0.05995032371073459,0.268579236350688,0.06636239625041393,0.08001164902712657,0.4353554383808443,0.1750299339181304,0.1506324484930777,0.8748448122924821,2019-05-07 23:26:20,763.7,47.13,14.7,75.44170737600001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-31-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018108560790895248,0.05906873211908315,0.26861489782138764,0.06642893102191996,0.07951491050936221,0.43535834701917336,0.17491055949723086,0.15044539493952527,0.8747691456718595,2019-05-07 23:31:20,763.7,48.63,14.7,77.84278017600002,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-36-15_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01803134399334401,0.05833013456285114,0.2686272893642394,0.06642615976958145,0.07912130706949094,0.4353605691951818,0.17520663851864035,0.15031650774184538,0.8749029400148879,2019-05-07 23:36:20,763.7,50.13,14.8,80.24385297600001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-41-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018089004885596737,0.05753082150193711,0.2686116270980848,0.0664079282619387,0.07872033075100299,0.4353544004764365,0.17532941682342484,0.1502177763642525,0.8747162565689928,2019-05-07 23:41:20,763.61,51.53,14.79,82.47513929600001,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-46-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01804228369769071,0.0568469480389863,0.26857942552420755,0.06636570413995102,0.07837518840849868,0.4353714437812729,0.17511896294692947,0.1501360397438696,0.874865968514034,2019-05-07 23:46:20,763.79,52.93,14.7,84.73583459200002,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-51-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.0180781705141225,0.05615712845585984,0.2685210462317804,0.06641610666304995,0.0779547433099399,0.4352467425527127,0.1752604937440309,0.15010598619995275,0.8747368967299768,2019-05-07 23:51:20,763.79,54.33,14.8,86.977099968,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-07--23-56-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.0180387953187661,0.05556537585737634,0.2685483907932576,0.06637106296945311,0.0776737251180255,0.4352411948190293,0.17507521706418902,0.1499908567204806,0.8747169061578156,2019-05-07 23:56:20,763.8,55.63,14.8,89.059446624,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-01-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01800331905448374,0.05498224049788285,0.2685654757847765,0.06642680821056636,0.07733876025157492,0.4352392461872883,0.17520695577559958,0.14990003656091325,0.8746923265549381,2019-05-08 00:01:20,763.9,56.83,14.7,90.99246795200001,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-06-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.0180260186243143,0.054442724764686035,0.26847121380656075,0.06638718027096628,0.07708911670240838,0.4352638311650796,0.17524038332056555,0.149829589357548,0.8747122333091867,2019-05-08 00:06:20,763.9,58.12,14.7,93.057931328,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-11-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018083863149981845,0.053963092232972035,0.2684999115592387,0.06637628563496954,0.07679394384497723,0.4351713355396207,0.1753115809050479,0.14970720515386046,0.8746330044272774,2019-05-08 00:11:20,763.9,59.32,14.79,94.979292608,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-16-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018066684497872867,0.053437247074266316,0.2684032194611169,0.06637689969994097,0.07650373442902518,0.4351646286227689,0.1752200563734305,0.14980855321851622,0.8745631946631102,2019-05-08 00:16:20,763.9,60.43,14.71,96.75655179200001,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-21-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01809222259597986,0.05303096401837053,0.2684922595669426,0.06642883443553399,0.0762684999256269,0.4351679814556881,0.1750270074494034,0.14964789324667058,0.8747165847345647,2019-05-08 00:21:20,763.9,61.62000000000001,14.8,98.66190172799999,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-26-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018055216337270297,0.05255153965795955,0.26844546267603897,0.06637055838500587,0.07606897043901288,0.4351023567072444,0.17528869820794854,0.1495739379011225,0.8744654943288953,2019-05-08 00:26:20,763.9,62.72000000000001,14.8,100.42314956799999,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-31-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01811003168838445,0.0521626537337617,0.2684312069012762,0.06639316655129611,0.07580454105400074,0.4351109622268403,0.1752225599982969,0.14953848702270944,0.8745686113159029,2019-05-08 00:31:20,763.9,63.72000000000001,14.8,102.02428396799999,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-36-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018051703812787173,0.051819248574306885,0.2684338867227267,0.0663246932777138,0.07567116754874911,0.4351157418000401,0.17538868956171427,0.14954367975654756,0.8744845419495395,2019-05-08 00:36:20,764.0,64.72,14.8,103.63898368000002,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-41-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.018059888783654325,0.051432218311785266,0.2683979651985016,0.06636239625041394,0.07545040806670843,0.43511784887607396,0.1754125285255525,0.14945675028773042,0.8744859039906197,2019-05-08 00:41:20,763.9,65.72,14.8,105.22655276799999,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-46-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01817429130015357,0.05108312927135702,0.2683736770663241,0.06643654810753664,0.07523271060547435,0.4350262784533876,0.17530671460949224,0.1494062388109636,0.8743888847567556,2019-05-08 00:46:20,763.9,66.62,14.71,106.667573728,True,False,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-51-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01810461013332893,0.050732198402569297,0.2683173755574065,0.0663841863287607,0.07508886851599154,0.4350349260722882,0.17550881596076345,0.1493973264637623,0.8744941181460569,2019-05-08 00:51:20,763.9,67.61,14.8,108.252696784,True,True,False
2,15,2019-05-07--15-56-14-PiE5FB-DO_sweep_15C_iteration3,2019-05-08--00-56-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.01811205127618291,0.050442848706749865,0.268385434683888,0.06645713053132286,0.07493459515152225,0.4349606016063845,0.17541867367622793,0.14936103177307056,0.8744597778158644,2019-05-08 00:56:20,763.9,68.42000000000002,14.8,109.54961564799999,True,False,False
